Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Experience_Level_Category,BMI_Category
56,male,88.3,1.71,180,157,60,1.69,1313.0,yoga,12.6,3.5,4,3,30.2,advanced,obese
46,female,74.9,1.53,179,151,66,1.3,883.0,hiit,33.9,2.1,4,2,32.0,intermediate,obese
32,female,68.1,1.66,167,122,54,1.11,677.0,cardio,33.4,2.3,4,2,24.71,intermediate,normal
25,male,53.2,1.7,190,164,56,0.59,532.0,strength,28.8,2.1,3,1,18.41,beginner,underweight
38,male,46.1,1.79,188,158,68,0.64,556.0,strength,29.2,2.8,3,1,14.39,beginner,underweight
56,female,58.0,1.68,168,156,74,1.59,1116.0,hiit,15.5,2.7,5,3,20.55,advanced,normal
36,male,70.3,1.72,174,169,73,1.49,1385.0,cardio,21.3,2.3,3,2,23.76,intermediate,normal
40,female,69.7,1.51,189,141,64,1.27,895.0,cardio,30.6,1.9,3,2,30.57,intermediate,obese
28,male,121.7,1.94,185,127,52,1.03,719.0,strength,28.9,2.6,4,2,32.34,intermediate,obese
28,male,101.8,1.84,169,136,64,1.08,808.0,cardio,29.7,2.7,3,1,30.07,beginner,obese
41,male,120.8,1.67,188,146,54,0.82,593.0,hiit,20.5,3.0,2,1,43.31,beginner,obese
53,male,51.7,1.7,175,152,72,1.15,865.0,hiit,23.6,3.5,3,2,17.89,intermediate,underweight
57,male,112.5,1.61,195,165,61,1.24,1013.0,cardio,22.1,2.7,3,2,43.4,intermediate,obese
41,male,94.5,2.0,179,136,69,1.18,794.0,hiit,27.6,3.7,3,1,23.62,beginner,normal
20,male,117.7,1.81,196,161,54,1.35,1195.0,yoga,26.4,3.3,3,2,35.93,intermediate,obese
39,female,42.5,1.75,181,131,52,1.13,740.0,strength,26.2,2.1,2,1,13.88,beginner,underweight
19,female,64.0,1.53,166,167,58,1.33,1111.0,hiit,29.8,2.3,3,2,27.34,intermediate,overweight
41,female,43.8,1.77,182,165,58,1.19,884.0,cardio,31.9,1.6,3,1,13.98,beginner,underweight
47,female,66.8,1.75,199,146,56,1.13,742.0,strength,32.8,2.5,3,2,21.81,intermediate,normal
55,female,75.2,1.67,188,167,51,1.37,1030.0,hiit,25.2,2.2,2,1,26.96,beginner,overweight
19,male,89.0,1.77,175,127,72,1.5,1048.0,strength,28.9,3.7,4,2,28.41,intermediate,overweight
38,male,71.9,1.77,197,142,72,1.12,875.0,cardio,25.7,3.1,2,1,22.95,beginner,normal
50,female,71.0,1.68,187,161,70,1.17,848.0,yoga,33.1,2.5,2,1,25.16,beginner,overweight
29,male,120.9,1.78,197,168,65,0.78,721.0,yoga,28.1,3.4,2,1,38.16,beginner,obese
39,female,64.3,1.69,190,148,58,1.25,925.0,hiit,26.9,1.9,4,2,22.51,intermediate,normal
42,female,63.7,1.71,173,169,62,1.42,1080.0,yoga,26.1,1.8,3,2,21.78,intermediate,normal
44,male,65.2,1.8,192,139,68,0.73,502.0,hiit,27.2,2.7,2,1,20.12,beginner,normal
59,male,53.9,1.75,168,135,69,1.48,989.0,strength,21.6,2.8,4,2,17.6,intermediate,underweight
45,male,84.9,1.86,186,136,66,1.64,1104.0,hiit,14.2,3.5,5,3,24.54,advanced,normal
33,female,78.0,1.68,183,135,55,1.29,871.0,hiit,32.3,1.8,3,2,27.64,intermediate,overweight
32,male,108.2,1.8,172,138,53,1.27,964.0,hiit,28.4,3.5,3,1,33.4,beginner,obese
20,female,65.4,1.52,185,127,50,1.03,654.0,yoga,28.0,2.2,4,2,28.31,intermediate,overweight
54,female,50.2,1.61,188,157,67,1.48,1046.0,hiit,28.2,2.7,2,1,19.37,beginner,normal
24,female,58.9,1.51,187,157,68,1.04,816.0,cardio,31.7,2.5,2,1,25.83,beginner,overweight
38,male,81.4,1.71,187,148,58,1.52,1237.0,hiit,10.2,3.5,5,3,27.84,advanced,overweight
26,male,127.6,1.73,167,160,62,1.32,1162.0,strength,27.3,2.9,3,1,42.63,beginner,obese
56,female,59.3,1.56,182,155,57,1.26,879.0,cardio,33.4,2.6,4,2,24.37,intermediate,normal
35,male,96.9,1.71,188,145,72,1.34,1069.0,strength,24.2,2.9,3,2,33.14,intermediate,obese
21,male,62.6,1.81,164,150,62,1.3,1072.0,strength,27.6,3.5,4,2,19.11,intermediate,normal
42,male,45.5,1.6,166,163,64,1.31,1057.0,strength,21.7,2.6,3,2,17.77,intermediate,underweight
31,female,48.8,1.51,195,131,60,1.48,969.0,cardio,28.2,2.0,2,1,21.4,beginner,normal
26,female,44.3,1.6,186,136,61,1.08,734.0,cardio,34.7,2.0,3,1,17.3,beginner,underweight
43,male,113.2,1.83,161,134,63,1.45,962.0,yoga,29.9,2.9,4,2,33.8,intermediate,obese
19,female,60.5,1.59,184,128,53,1.14,730.0,cardio,30.1,2.2,2,1,23.93,beginner,normal
37,male,124.2,1.76,168,158,50,1.5,1304.0,hiit,29.3,2.8,2,1,40.1,beginner,obese
45,male,52.4,1.85,186,161,73,1.2,956.0,strength,25.2,2.5,3,1,15.31,beginner,underweight
24,male,54.7,1.74,160,167,53,0.84,772.0,yoga,22.9,3.6,3,1,18.07,beginner,underweight
25,male,88.1,1.95,182,131,68,1.41,1016.0,cardio,22.7,3.0,2,1,23.17,beginner,normal
52,female,59.7,1.71,169,151,58,1.23,836.0,strength,34.3,2.0,3,1,20.42,beginner,normal
31,female,79.7,1.54,184,144,59,1.03,742.0,cardio,26.7,2.3,4,2,33.61,intermediate,obese
34,female,51.0,1.62,162,158,53,1.42,1122.0,yoga,30.8,2.4,3,2,19.43,intermediate,normal
53,male,84.2,1.76,165,137,69,1.67,1133.0,cardio,12.8,3.5,5,3,27.18,advanced,overweight
57,male,122.1,1.89,165,134,58,1.13,750.0,cardio,27.4,3.6,3,1,34.18,beginner,obese
21,male,96.7,1.72,161,151,62,1.26,1046.0,strength,25.0,2.8,3,1,32.69,beginner,obese
19,female,73.0,1.79,177,125,61,0.81,506.0,hiit,27.7,1.6,3,1,22.78,beginner,normal
